City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Damietta,EG,2020-02-20 16:58:42,31.42,31.81,64.4,59,40,8.05
172,Shchigry,RU,2020-02-20 16:58:43,51.88,36.9,37.4,69,3,2.24
173,Saskylakh,RU,2020-02-20 16:58:43,71.92,114.08,-18.71,99,24,3.44
174,Yurla,RU,2020-02-20 16:58:44,59.33,54.32,30.27,94,100,7.05
175,Morondava,MG,2020-02-20 16:58:45,-20.28,44.28,77.67,92,68,2.55
176,Abu Dhabi,AE,2020-02-20 16:58:45,24.47,54.37,77.0,57,75,3.36
177,Yumen,CN,2020-02-20 16:58:46,40.28,97.2,21.56,50,79,12.68
178,Cabo Rojo,PR,2020-02-20 16:58:47,18.09,-67.15,86.0,59,1,21.92
179,Bengkulu,ID,2020-02-20 16:58:47,-3.8,102.27,73.6,90,92,4.25
180,Touros,BR,2020-02-20 16:56:02,-5.2,-35.46,77.0,94,90,11.41
181,Oshikango,NA,2020-02-20 16:58:48,-17.4,15.88,78.8,65,75,8.05
182,Mayo,US,2020-02-20 16:58:49,38.89,-76.51,39.99,37,40,5.82
183,Umm Lajj,SA,2020-02-20 16:58:49,25.02,37.27,62.35,53,0,9.08
184,Bontang,ID,2020-02-20 16:58:50,0.13,117.5,79.63,83,100,14.14
185,Santa Rosalia,MX,2020-02-20 16:58:50,27.32,-112.28,73.49,21,1,4.14
186,Grand-Santi,GF,2020-02-20 16:58:51,4.25,-54.38,90.88,42,76,5.23
187,Santa Cruz Do Rio Pardo,BR,2020-02-20 16:58:51,-22.9,-49.63,78.91,88,100,3.76
188,Cabanas,CU,2020-02-20 16:58:52,22.98,-82.92,84.2,62,40,10.29
189,Lima,PE,2020-02-20 16:58:52,-12.04,-77.03,80.6,74,94,8.05
190,Ponta Do Sol,PT,2020-02-20 16:58:52,32.67,-17.1,66.2,48,20,10.29
191,Ouadda,CF,2020-02-20 16:58:53,8.08,22.4,81.5,25,16,6.13
192,Naze,JP,2020-02-20 16:58:53,28.37,129.48,60.8,77,90,6.93
193,Kapaa,US,2020-02-20 16:58:54,22.08,-159.32,73.4,73,40,24.16
194,Christchurch,NZ,2020-02-20 16:56:01,-43.53,172.63,70.0,93,56,10.29
195,Barra Patuca,HN,2020-02-20 16:58:55,15.8,-84.28,80.44,79,9,14.23
196,Contai,IN,2020-02-20 16:58:55,21.78,87.75,69.85,70,6,6.06
197,Avera,US,2020-02-20 16:58:56,33.19,-82.53,44.6,93,90,11.41
198,Bathsheba,BB,2020-02-20 16:58:56,13.22,-59.52,84.2,58,40,24.16
199,Hofn,IS,2020-02-20 16:58:56,64.25,-15.21,37.4,64,20,19.46
200,Mosquera,CO,2020-02-20 16:58:57,4.71,-74.23,68.43,52,98,5.53
201,Krasnoselkup,RU,2020-02-20 16:58:57,65.7,82.47,26.13,97,100,4.68
202,Puerto Leguizamo,CO,2020-02-20 16:58:58,-0.19,-74.78,95.0,44,52,2.64
203,Cabedelo,BR,2020-02-20 16:58:59,-6.98,-34.83,75.2,100,90,11.41
204,Chuy,UY,2020-02-20 16:58:59,-33.7,-53.46,75.56,34,0,16.04
205,Olovyannaya,RU,2020-02-20 16:59:00,50.95,115.57,2.39,90,100,5.44
206,Polovinnoye,RU,2020-02-20 16:59:00,54.79,65.99,26.44,94,100,8.55
207,Olga,RU,2020-02-20 16:59:01,43.74,135.29,28.15,58,1,10.45
208,Constitucion,CL,2020-02-20 16:59:01,-35.33,-72.42,70.68,35,0,5.08
209,Zhigansk,RU,2020-02-20 16:59:02,66.77,123.37,-6.72,96,100,23.31
210,Dongsheng,CN,2020-02-20 16:59:02,39.82,109.98,23.27,45,43,15.26
211,Callaway,US,2020-02-20 16:59:03,30.15,-85.57,70.0,83,90,16.11
212,Bandarbeyla,SO,2020-02-20 16:59:03,9.49,50.81,77.56,79,54,12.57
213,Ios,GR,2020-02-20 16:59:04,36.73,25.28,59.0,67,0,5.82
214,Alto Araguaia,BR,2020-02-20 16:59:04,-17.31,-53.22,82.2,69,100,6.13
215,Westport,US,2020-02-20 16:54:16,41.14,-73.36,36.0,34,1,4.7
216,Sur,OM,2020-02-20 16:59:05,22.57,59.53,72.1,42,65,12.57
217,Marsh Harbour,BS,2020-02-20 16:59:06,26.54,-77.06,75.83,75,0,12.03
218,Kawalu,ID,2020-02-20 16:59:07,-7.38,108.21,71.29,90,99,2.21
219,Mogok,MM,2020-02-20 16:59:07,22.92,96.5,62.47,35,21,3.53
220,Yulara,AU,2020-02-20 16:59:08,-25.24,130.99,82.4,14,31,12.75
221,Phalaborwa,ZA,2020-02-20 16:59:08,-23.94,31.14,82.6,60,79,5.48
222,Muscat,OM,2020-02-20 16:59:08,23.61,58.59,75.2,83,54,10.29
223,Kununurra,AU,2020-02-20 16:59:09,-15.77,128.73,80.6,74,98,8.05
224,Buraydah,SA,2020-02-20 16:59:09,26.33,43.98,64.4,45,0,4.7
225,Tucumcari,US,2020-02-20 16:59:10,35.17,-103.72,28.4,63,90,11.41
226,Clyde River,CA,2020-02-20 16:59:10,70.47,-68.59,-11.2,76,40,19.46
227,Okha,RU,2020-02-20 16:59:11,53.57,142.95,4.08,90,100,8.97
228,Geraldton,AU,2020-02-20 16:59:11,-28.77,114.6,77.0,69,40,12.75
229,Agucadoura,PT,2020-02-20 16:59:12,41.43,-8.78,61.0,67,2,4.7
230,San Juan De Uraba,CO,2020-02-20 16:59:12,8.76,-76.53,81.23,79,32,5.46
231,Manacapuru,BR,2020-02-20 16:59:13,-3.3,-60.62,84.2,70,75,6.93
232,Jalu,LY,2020-02-20 16:59:13,29.03,21.55,60.57,57,60,11.34
233,Ewa Beach,US,2020-02-20 16:59:14,21.32,-158.01,71.6,56,1,10.29
234,Juybar,IR,2020-02-20 16:59:14,36.64,52.91,48.2,93,90,9.17
235,Yelkhovka,RU,2020-02-20 16:59:15,53.87,50.28,35.6,69,83,4.47
